source_address;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
178.128.248.121;48;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51.79.248.179;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
158.69.171.154;80;73;78;75;75;76;71;69;70;73;72;72;70;74;71;66;73;67;66;67;66;67;70;68
109.232.231.82;387;374;370;378;367;369;373;372;368;373;374;383;394;417;420;410;412;351;346;337;351;347;323;340
213.32.14.243;74;71;74;76;73;70;71;71;72;72;68;68;64;67;67;67;70;61;64;65;68;69;66;68
85.238.103.50;60;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
176.98.30.110;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
159.203.11.247;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139.59.121.188;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
177.200.1.53;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128.199.197.21;50;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
51.210.149.157;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61.177.173.48;13;16;17;22;20;24;10;12;11;21;14;18;18;14;14;16;10;19;18;14;18;19;8;12
129.154.217.134;38;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
197.14.11.24;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.227.173.35;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41.223.6.198;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49.247.31.104;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
157.230.185.9;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91.134.234.178;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
213.231.1.36;11;43;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
203.142.73.157;155;166;451;338;332;310;350;330;52;431;178;75;10;10;10;10;162;110;126;164;90;54;138;128
5.188.210.227;13;0;7;85;20;7;14;92;38;0;0;100;9;0;0;97;22;0;0;82;9;0;14;80
158.69.170.63;48;39;42;42;38;38;40;41;42;42;44;45;41;45;45;40;45;38;37;38;39;36;36;36
88.99.120.103;66;54;86;97;76;48;100;55;38;65;109;95;41;12;103;79;40;63;7;82;88;64;85;131
162.33.177.107;54;57;57;42;65;62;57;60;65;33;12;36;45;54;69;66;75;48;48;57;35;19;21;27
31.41.118.109;6;2;4;2;2;3;2;4;0;0;0;0;0;5;10;4;6;4;4;2;6;4;0;0
78.47.248.212;182;243;155;191;74;102;70;77;77;66;162;41;25;67;90;75;97;84;61;40;130;106;164;178
147.10.254.230;45;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
