analyzer_id,source_port,source_protocol,target_port,target_protocol,Cluster
5,58799,4,3389,4,0
2,59349,4,445,4,0
2,33539,4,445,4,1
2,56862,4,445,4,0
2,50991,4,445,4,0
2,64989,4,445,4,0
1,51118,4,2222,4,0
2,59727,4,445,4,0
2,51021,4,445,4,0
2,63882,4,445,4,0
2,18939,4,445,4,1
2,56112,4,80,4,0
2,54089,4,445,4,0
2,59958,4,445,4,0
2,62556,4,445,4,0
5,53902,4,3389,4,0
1,49044,4,2222,4,0
5,23776,4,3389,4,1
2,53863,4,445,4,0
2,39874,4,80,4,1
5,53543,4,3389,4,0
5,63988,4,3389,4,0
2,59004,4,80,4,0
2,50674,4,445,4,0
2,63120,4,445,4,0
2,56379,4,445,4,0
2,56312,4,445,4,0
2,64445,4,445,4,0
2,60886,4,445,4,0
5,42908,4,3389,4,1
2,60070,4,445,4,0
2,37542,4,80,4,1
2,31296,4,5060,4,1
2,56753,4,445,4,0
5,37568,4,3389,4,1
2,60492,4,445,4,0
2,41036,4,80,4,1
1,49892,4,2222,4,0
2,62644,4,445,4,0
2,39444,4,80,4,1
1,37136,4,2222,4,1
2,50746,4,445,4,0
5,58268,4,3389,4,0
2,55100,4,445,4,0
2,62348,4,445,4,0
1,52130,4,2222,4,0
2,54173,4,80,4,0
1,38186,4,2222,4,1
1,36008,4,2222,4,1
2,62747,4,445,4,0
2,35232,4,80,4,1
5,61061,4,3389,4,0
2,39495,4,445,4,1
2,55741,4,445,4,0
2,59568,4,445,4,0
2,62465,4,445,4,0
5,61793,4,3389,4,0
5,56954,4,3389,4,0
2,65371,4,445,4,0
2,63335,4,445,4,0
2,48935,4,445,4,0
2,51995,4,445,4,0
2,64639,4,445,4,0
2,65427,4,445,4,0
2,52319,4,445,4,0
2,53730,4,445,4,0
1,64335,4,2222,4,0
2,62780,4,445,4,0
2,59523,4,445,4,0
1,33606,4,2222,4,1
2,63613,4,445,4,0
2,57419,4,445,4,0
5,30070,4,3389,4,1
2,54793,4,445,4,0
5,58671,4,3389,4,0
2,51204,4,445,4,0
2,49831,4,445,4,0
5,65148,4,3389,4,0
1,53088,4,2222,4,0
1,44686,4,2222,4,0
2,51556,4,80,4,0
2,52031,4,445,4,0
2,59182,4,445,4,0
2,52491,4,445,4,0
2,55887,4,445,4,0
2,55820,4,445,4,0
2,59641,4,445,4,0
2,49838,4,445,4,0
5,65070,4,3389,4,0
2,36392,4,80,4,1
2,50338,4,445,4,0
5,55853,4,3389,4,0
2,49713,4,445,4,0
2,51862,4,445,4,0
1,53326,4,2222,4,0
2,52869,4,445,4,0
2,63643,4,80,4,0
2,39414,4,80,4,1
2,23166,4,80,4,1
2,64142,4,445,4,0
2,58813,4,445,4,0
2,59076,4,445,4,0
2,55355,4,445,4,0
2,62075,4,445,4,0
5,49942,4,3389,4,0
2,46916,4,80,4,0
2,52701,4,445,4,0
1,60256,4,2222,4,0
2,54546,4,445,4,0
2,57878,4,445,4,0
2,51633,4,445,4,0
2,58007,4,445,4,0
2,56042,4,445,4,0
2,35114,4,80,4,1
2,61755,4,445,4,0
5,9826,4,3389,4,1
5,57585,4,3389,4,0
5,52204,4,3389,4,0
2,33696,4,80,4,1
2,51888,4,445,4,0
2,63040,4,445,4,0
5,41120,4,3389,4,1
2,63306,4,445,4,0
2,58316,4,445,4,0
5,63870,4,3389,4,0
2,40298,4,80,4,1
2,60091,4,445,4,0
2,60248,4,80,4,0
2,51442,4,80,4,0
